City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Fort-Shevchenko,KZ,2021-07-19 15:48:21,44.5086,50.263,85.91,48,0,9.71
238,Puerto Carreno,CO,2021-07-19 15:48:20,6.189,-67.4859,73.65,93,100,4.88
239,Ugra,RU,2021-07-19 15:48:22,54.7777,34.3267,66.76,94,100,4.83
240,Berea,US,2021-07-19 15:47:46,41.3662,-81.8543,81.75,71,20,1.99
241,Barkot,IN,2021-07-19 15:48:22,30.8167,78.2,70.07,97,100,2.84
242,Sinnamary,GF,2021-07-19 15:48:22,5.3833,-52.95,81.61,78,51,5.99
243,Amarpatan,IN,2021-07-19 15:48:23,24.3167,80.9833,85.59,64,99,8.19
244,Sao Filipe,CV,2021-07-19 15:48:23,14.8961,-24.4956,75.54,83,24,8.16
245,Ostrovnoy,RU,2021-07-19 15:48:23,68.0531,39.5131,52.0,79,100,10.38
246,Kuznechikha,RU,2021-07-19 15:48:24,57.2161,42.3348,78.87,52,100,7.36
247,Svetlyy,RU,2021-07-19 15:48:24,54.675,20.1347,71.65,64,1,11.59
248,Joaima,BR,2021-07-19 15:48:24,-16.6542,-41.0306,93.92,24,0,2.39
249,Aktash,RU,2021-07-19 15:48:25,50.3,87.7333,42.96,90,67,1.95
250,Saint George,US,2021-07-19 15:48:25,37.1041,-113.5841,86.47,57,1,0.0
251,Cordoba,AR,2021-07-19 15:45:20,-31.4135,-64.1811,64.42,22,0,3.0
252,Grindavik,IS,2021-07-19 15:48:25,63.8424,-22.4338,55.56,93,75,8.05
253,Ballitoville,ZA,2021-07-19 15:48:26,-29.539,31.2144,66.34,63,0,11.5
254,Camacha,PT,2021-07-19 15:48:26,33.0833,-16.3333,72.36,64,75,12.66
255,Mabaruma,GY,2021-07-19 15:48:26,8.2,-59.7833,79.95,89,95,5.41
256,Narsaq,GL,2021-07-19 15:48:27,60.9167,-46.05,52.02,99,100,5.19
257,Lamu,KE,2021-07-19 15:48:27,-2.2717,40.902,79.02,79,55,17.78
258,Presidencia Roque Saenz Pena,AR,2021-07-19 15:48:27,-26.7852,-60.4388,61.2,20,46,3.71
259,Ambikapur,IN,2021-07-19 15:48:28,23.1167,83.2,82.71,66,100,2.39
260,Chicama,PE,2021-07-19 15:48:28,-7.8447,-79.1469,63.14,65,40,7.18
261,Abu Kamal,SY,2021-07-19 15:48:28,34.4506,40.9171,107.91,8,0,14.99
262,Lagoa,PT,2021-07-19 15:48:29,39.05,-27.9833,69.31,87,92,20.38
263,Chama,CH,2021-07-19 15:48:29,47.1821,8.4636,83.05,47,1,4.61
264,Mayumba,GA,2021-07-19 15:48:29,-3.432,10.6554,74.71,78,54,9.15
265,Turukhansk,RU,2021-07-19 15:48:30,65.8167,87.9833,52.77,74,6,9.46
266,Jocotan,GT,2021-07-19 15:48:30,14.8167,-89.3833,81.23,71,95,5.28
267,Sochi,RU,2021-07-19 15:48:30,43.6,39.7303,86.09,77,0,7.27
268,Ugoofaaru,MV,2021-07-19 15:48:31,5.6667,73.0,83.39,72,64,11.36
269,Castrillon,ES,2021-07-19 15:48:31,43.3979,-6.7922,87.21,46,0,6.73
270,Ancud,CL,2021-07-19 15:48:31,-41.8697,-73.8203,49.53,96,100,7.63
271,Borujerd,IR,2021-07-19 15:48:31,33.8973,48.7516,85.23,24,27,8.1
272,Sawakin,SD,2021-07-19 15:48:32,19.1059,37.3321,93.09,45,100,15.99
273,Monduli,TZ,2021-07-19 15:48:32,-3.3,36.45,69.96,47,28,7.65
274,Illapel,CL,2021-07-19 15:48:32,-31.6308,-71.1653,73.81,13,0,2.62
275,Tanout,NE,2021-07-19 15:48:33,14.9709,8.8879,97.43,27,53,9.8
276,Sarkand,KZ,2021-07-19 15:48:33,45.41,79.9186,75.13,24,83,7.54
277,Playas,EC,2021-07-19 15:48:33,-2.6333,-80.3833,74.84,76,35,7.92
278,Janow Lubelski,PL,2021-07-19 15:48:34,50.707,22.4104,78.62,59,94,7.94
279,Namibe,AO,2021-07-19 15:48:34,-15.1961,12.1522,68.68,83,20,10.54
280,Labytnangi,RU,2021-07-19 15:48:34,66.6572,66.4183,65.98,60,95,5.39
281,Kadyy,RU,2021-07-19 15:48:35,57.787,43.1903,77.16,68,94,3.78
282,Nkayi,CG,2021-07-19 15:48:35,-4.1841,13.2884,91.33,34,77,7.96
283,Sosenskiy,RU,2021-07-19 15:48:35,54.059,35.9623,71.31,96,65,11.34
284,San Jorge,AR,2021-07-19 15:48:35,-31.8962,-61.8598,59.0,34,0,5.7
285,Colares,PT,2021-07-19 15:48:36,38.7992,-9.4469,74.88,66,75,8.01
286,Liwale,TZ,2021-07-19 15:48:36,-9.7667,37.9333,73.92,44,65,6.49
287,Ust-Kulom,RU,2021-07-19 15:48:36,61.6864,53.6902,70.92,53,14,3.96
288,Sayyan,YE,2021-07-19 15:48:37,15.1718,44.3244,65.57,50,100,12.06
289,Westport,US,2021-07-19 15:48:37,41.1415,-73.3579,77.77,75,90,1.01
290,Lake Park,US,2021-07-19 15:48:37,26.8003,-80.0664,91.02,74,40,4.0
291,Marathon,US,2021-07-19 15:48:38,44.9,-89.7668,77.99,71,1,5.75
292,Cidreira,BR,2021-07-19 15:48:38,-30.1811,-50.2056,53.51,68,61,21.52
