City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Karamadai,IN,2021-07-20 01:51:21,11.2406,76.9601,75.58,72,92,4.56,overcast clouds
117,Bestobe,KZ,2021-07-20 01:51:22,52.4994,73.0975,68.41,58,89,3.11,overcast clouds
118,Port Elizabeth,ZA,2021-07-20 01:51:22,-33.918,25.5701,55.69,88,0,9.22,clear sky
119,Santa Maria Da Vitoria,BR,2021-07-20 01:51:22,-13.3947,-44.1886,73.71,34,0,3.02,clear sky
120,Husavik,IS,2021-07-20 01:51:23,66.0449,-17.3389,44.51,82,15,4.52,few clouds
121,Gerash,IR,2021-07-20 01:51:23,27.6652,54.1371,84.34,58,39,1.3,scattered clouds
122,Sawakin,SD,2021-07-20 01:51:23,19.1059,37.3321,91.58,48,100,14.72,overcast clouds
123,Kurmanayevka,RU,2021-07-20 01:51:24,52.5093,52.0675,75.36,56,65,3.49,broken clouds
124,Stalowa Wola,PL,2021-07-20 01:51:24,50.5829,22.0533,65.41,86,42,1.99,scattered clouds
125,Vestmannaeyjar,IS,2021-07-20 01:51:24,63.4427,-20.2734,51.89,92,100,13.76,overcast clouds
126,Vizinga,RU,2021-07-20 01:51:25,61.0749,50.1031,60.15,97,58,4.25,broken clouds
127,Mahajanga,MG,2021-07-20 01:51:25,-15.7167,46.3167,73.42,64,40,5.75,scattered clouds
128,Chuy,UY,2021-07-20 01:47:10,-33.6971,-53.4616,41.83,90,0,6.11,clear sky
129,Ibipeba,BR,2021-07-20 01:51:25,-11.6408,-42.0111,66.16,55,0,4.83,clear sky
130,Hofn,IS,2021-07-20 01:51:26,64.2539,-15.2082,51.64,86,19,5.35,few clouds
131,Taoudenni,ML,2021-07-20 01:51:26,22.6783,-3.9836,102.16,11,93,1.99,overcast clouds
132,Hauterive,FR,2021-07-20 01:51:26,46.0901,3.4459,60.76,96,4,1.97,clear sky
133,Charlestown,AU,2021-07-20 01:51:27,-32.95,151.6667,59.74,49,28,5.01,scattered clouds
134,Dondo,MZ,2021-07-20 01:51:27,-19.6094,34.7431,56.98,87,1,4.68,clear sky
135,Moanda,GA,2021-07-20 01:51:28,-1.5575,13.2178,70.79,72,60,2.98,broken clouds
