City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Jawhar,SO,73.92,overcast clouds,2.7809,45.5005,hantiwadaag village part one
310,Tabory,RU,66.36,clear sky,58.5198,64.5495,
311,Le Port,RE,69.8,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
313,Groningen,NL,62.64,overcast clouds,53.25,6.75,Bed&Breakfast Lageland
315,Birao,CF,70.23,overcast clouds,10.2849,22.7882,
317,Santo Antonio Do Ica,BR,72.1,scattered clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
320,Burevestnik,RU,67.75,clear sky,56.144,43.7883,Oreshkino
321,Nikki,BJ,70.75,light rain,9.9401,3.2108,Hotel John
322,Boende,CD,71.53,broken clouds,-0.2167,20.8667,
323,Mogadouro,PT,62.78,broken clouds,41.3403,-6.7119,Pensão Russo
325,Bulaevo,KZ,62.19,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
327,Namibe,AO,67.12,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
329,Tarko-Sale,RU,60.82,clear sky,64.9225,77.785,Yubileynaya
334,Sao Pedro Da Cadeira,PT,66.2,overcast clouds,39.0698,-9.3717,5 Marias Guest House
335,Svetlyy,RU,60.85,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
338,Pemba,MZ,68.7,few clouds,-12.974,40.5178,Guesthouse Samotina
339,Bonavista,CA,64.4,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
343,Taucha,DE,61.86,clear sky,51.3833,12.4833,ibis Leipzig Nord Ost
345,Impfondo,CG,71.85,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
346,Chapleau,CA,73.49,moderate rain,47.8405,-83.4034,Nemegosenda Lake Lodge
348,Timizart,DZ,69.12,clear sky,36.8,4.2667,yefssah restaurant
349,Mayumba,GA,70.29,few clouds,-3.432,10.6554,LIKWALE LODGE
350,Harbour Breton,CA,60.46,overcast clouds,47.4833,-55.7983,Southern Port Hotel
351,Boma,GH,69.69,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
353,Georgiyevka,KZ,71.64,few clouds,43.0369,74.7114,Gostinitsa Imperiya
354,Paraul,RU,64.94,clear sky,42.7419,47.3553,"Rodnik. ""Tukhlaya Voda"""
357,Dmitriyevka,RU,62.15,clear sky,54.75,55.3333,
360,Khandbari,NP,73.22,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
361,Auray,FR,71.74,clear sky,47.6703,-2.9918,Best Western Auray hotel du Loch
362,Lagoa,PT,69.15,overcast clouds,39.05,-27.9833,Casa Das Faias
363,Sukhobezvodnoye,RU,65.97,broken clouds,57.0491,44.8891,
368,Tinaquillo,VE,69.98,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
372,Derzhavinsk,KZ,64.65,clear sky,51.1,66.3167,Ooo.khim Baza
374,Birjand,IR,73.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
378,Bara,NG,74.75,broken clouds,10.3744,10.7288,
381,Ordynskoye,RU,65.44,broken clouds,54.3656,81.8994,Lunevka
384,Biu,NG,69.42,overcast clouds,10.6129,12.1946,Emir's Palace
385,Severnyy-Kospashskiy,RU,61.61,broken clouds,59.0925,57.8008,
386,Lafia,NG,72.01,moderate rain,8.4833,8.5167,Low Cost Housing Estate
387,Nador,MA,73.65,clear sky,35.174,-2.9287,Hôtel La Giralda
391,Beyla,GN,67.03,broken clouds,8.6833,-8.6333,DIAN SINKO
393,Ebensee,AT,62.55,broken clouds,47.8072,13.779,Post am See
395,Fatsa,TR,73.38,clear sky,41.0278,37.5014,Yalcin Resort Hotel
398,Sechenovo,RU,66.24,overcast clouds,55.2244,45.8906,
399,Irtyshskiy,RU,62.31,few clouds,58.3333,68.1333,
401,Kurduvadi,IN,72.73,overcast clouds,18.0833,75.4333,Trimurti Hotel and Lodging
405,Volchansk,RU,65.19,overcast clouds,59.9378,60.081,U Mikhalycha
406,Atasu,KZ,73.29,broken clouds,48.6814,71.6433,Dostyk
408,Kubachi,RU,62.74,clear sky,42.086,47.6034,Gostevoy Dom Kubachi-Etno
415,Cocentaina,ES,72.21,clear sky,38.7398,-0.4398,Hotel Odon
